Site_ID,Date,Latitude,Longitude,Depth_m,Secchi_m,Temp,DO_mg.L,Cond_uS,Sal_ppt,pH,NH4+_ug.L,NO2+NO3_ug.L,TDN_ug.L,SRP_ug.L,TDP_ug.L,N_P,DIC_mg.L,DOC_mg.L,ChlaTRI,Fuco,Diato,Allo,Chl_b ,Pheo_B,Lutein,Echine,Cantha,Aphan,Myxo,ChlaHPLC ,Pheo_A,B-car,MC_ug.L,Group
14A,2017-07-12,51.04648,-104.65134,4.1,1.52,20.4,4.94,5179,3.07,8.92,250,13.67,5280,840,620,8.516129032,75.886,59.561,13.13894297,0.258883834,0,0.08289459,0,0,3.899220484,0.026187192,0,0,0,3.448749359,0,0.606447761,0.02,2017_survey
14B,2017-07-12,50.995,-104.68568,2.1,1.56,23,6.98,1291,0.67,8.44,110,12.6,2550,70,110,23.18181818,81.645,32.06,3.003353625,0,0.00734094,0.03725774,0.020674205,0,0.067561774,0,0,0,0,0.431353711,0,0.00749094,0.02,2017_survey
20A,2017-07-24,50.10833,-102.04143,1.2,0.67,21.2,8.58,1369,0.74,9.11,90,7.76,1870,10,20,93.5,43.118,21.656,17.43292593,0.322836654,0.04569625,0.103353716,0.128200745,0,0.551317131,0.015778422,0,0,0,1.866293921,0,0.059552972,0.02,2017_survey
49A,2017-07-24,50.02262,-101.88369,0.8,0.5,21.8,7.46,1400,0.75,9.14,110,7.62,3070,10,50,61.4,61.194,31.211,4.4155892,0,0,0,0,0,0.043815072,0,0,0,0,0.436377601,0,0,0.02,2017_survey
54B,2017-07-24,49.97308,-101.76763,0.45,0.9,20.5,8.84,1421,0.78,10.19,160,11.75,2240,20,50,44.8,21.665,28.532,40.36657993,1.098079231,0.164156336,2.266404411,3.054026643,0.70921637,8.153162076,0.182354459,0.563054071,0,0,23.21517759,0.360302528,1.545010533,0.02,2017_survey
53A,2017-07-25,49.95133,-101.79024,2.7,0.51,19.2,10.15,2504,1.47,9.8,240,3188.68,6440,40,60,107.3333333,21.48,31.687,97.8888477,1.148236415,0.012756387,0.326977834,9.310855304,1.670703522,6.534245569,0,0,0,0,33.90003132,2.088844062,1.187414659,0.02,2017_survey
54A,2017-07-25,49.94727,-101.76752,1.6,0.34,19.3,7.55,1860,1.08,8.85,100,12.26,2340,4.2,40,58.5,70.368,31.823,101.1310573,1.416824329,1.315104608,1.098960116,2.972603419,0.786613762,2.649226012,0,0,0,0,19.45060984,0.387336946,0.813022131,0.02,2017_survey
52A,2017-07-25,49.85824,-101.71194,1.1,0.49,20.2,8.07,2463,1.41,8.74,100,114.86,2630,30,70,37.57142857,64.443,33.52,25.24528767,0.405671608,0.118879066,0.172690206,0.413039928,0.057716176,0.433609357,0.068866805,0.058522495,0,0,3.945709013,0.029321495,0.205116563,0.02,2017_survey
48A,2017-07-24,49.98583,-101.9271,1.5,0.63,22,7.73,2170,1.19,8.62,100,13.98,2400,50,90,26.66666667,69.843,31.317,38.66333318,0.545971241,0.05711876,0.624160683,0.940581755,0,0.481664323,0,0.249271244,0,0,5.968368597,0,0.03378892,0.02,2017_survey
51A,2017-07-24,49.99234,-101.90707,0.8,0.57,23.4,10.93,2069,1.06,9.16,90,16.83,0,2.07,0,0,32.651,28.185,50.42600378,1.059828601,0.112898504,0.391086652,1.13552527,7.011158542,1.457544937,0,0.04059117,0,0,6.955259028,0.03292238,0.314168045,0.02,2017_survey
48B,2017-07-24,49.99197,-101.9299,2.4,0.85,22.7,7.72,1773,0.9,8.51,90,6.69,2550,20,40,63.75,48.601,33.103,19.38683844,0.828298923,0.015701746,0.259456247,0.256910224,0.436664097,0.925166508,0,0,0.015048212,0,3.493273574,0.333092181,0.163487086,0.02,2017_survey
55B,2017-07-25,49.91539,-101.69835,2.5,0.6,20.4,6.88,416.7,0.2,9.01,110,7.09,1670,20,30,55.66666667,33.615,17.865,33.39791168,2.232633181,0.142739988,0.220205468,0.97374698,0.071856639,1.854633686,0,0.050647909,0.038772971,0.827974546,6.945880569,0.322536443,0.475555292,0.02,2017_survey
