Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Argyle No. 1, Saskatchewan [CCS470101001]",1,1,2021,43,"71,684","29,009",,0.002159947,0.002159911,,1487000,,0.04,,,2867.36,
"Mount Pleasant No. 2, Saskatchewan [CCS470101006]",1,6,2021,66,"73,472","29,733",,0.002213822,0.002213817,,1487000,,0.04,,,2938.88,
"Enniskillen No. 3, Saskatchewan [CCS470101011]",1,11,2021,59,"98,349","39,800",,0.002963403,0.002963372,,1487000,,0.04,,,3933.96,
"Coalfields No. 4, Saskatchewan [CCS470101016]",1,16,2021,33,"55,315","22,385",,0.001666724,0.00166671,,1487000,,0.04,,,2212.6,
"Estevan No. 5, Saskatchewan [CCS470101022]",1,22,2021,55,"76,477","30,949",,0.002304367,0.002304357,,1487000,,0.04,,,3059.08,
"Benson No. 35, Saskatchewan [CCS470101027]",1,27,2021,42,"85,248","34,499",,0.00256865,0.002568677,,1487000,,0.04,,,3409.92,
"Browning No. 34, Saskatchewan [CCS470101031]",1,31,2021,63,"148,664","60,162",,0.00447947,0.004479457,,1487000,,0.04,,,5946.56,
"Moose Creek No. 33, Saskatchewan [CCS470101036]",1,36,2021,60,"87,666","35,477",,0.002641508,0.002641496,,1487000,,0.04,,,3506.64,
"Reciprocity No. 32, Saskatchewan [CCS470101039]",1,39,2021,63,"92,701","37,515",,0.002793221,0.002793238,,1487000,,0.04,,,3708.04,
"Storthoaks No. 31, Saskatchewan [CCS470101043]",1,43,2021,50,"96,579","39,084",,0.002910071,0.002910061,,1487000,,0.04,,,3863.16,
"Antler No. 61, Saskatchewan [CCS470101047]",1,47,2021,86,"112,475","45,517",,0.003389041,0.00338904,,1487000,,0.04,,,4499,
"Moose Mountain No. 63, Saskatchewan [CCS470101053]",1,53,2021,70,"104,462","42,274",,0.003147597,0.003147577,,1487000,,0.04,,,4178.48,
"Brock No. 64, Saskatchewan [CCS470101058]",1,58,2021,37,"61,891","25,046",,0.001864869,0.001864839,,1487000,,0.04,,,2475.64,
"Tecumseh No. 65, Saskatchewan [CCS470101063]",1,63,2021,51,"85,486","34,595",,0.002575822,0.002575825,,1487000,,0.04,,,3419.44,
"Golden West No. 95, Saskatchewan [CCS470101069]",1,69,2021,52,"103,155","41,745",,0.003108215,0.00310819,,1487000,,0.04,,,4126.2,
"Hazelwood No. 94, Saskatchewan [CCS470101072]",1,72,2021,35,"39,523","15,994",,0.001190887,0.001190858,,1487000,,0.04,,,1580.92,
"Wawken No. 93, Saskatchewan [CCS470101076]",1,76,2021,55,"66,135","26,764",,0.001992747,0.001992756,,1487000,,0.04,,,2645.4,
"Walpole No. 92, Saskatchewan [CCS470101091]",1,91,2021,55,"90,172","36,491",,0.002717018,0.002716995,,1487000,,0.04,,,3606.88,
"Maryfield No. 91, Saskatchewan [CCS470101094]",1,94,2021,50,"63,746","25,797",,0.001920763,0.001920756,,1487000,,0.04,,,2549.84,
"Moosomin No. 121, Saskatchewan [CCS470105001]",5,1,2021,79,"119,321","48,287",,0.003595321,0.003595285,,1487000,,0.04,,,4772.84,
"Martin No. 122, Saskatchewan [CCS470105007]",5,7,2021,41,"51,131","20,692",,0.001540654,0.001540655,,1487000,,0.04,,,2045.24,
"Silverwood No. 123, Saskatchewan [CCS470105011]",5,11,2021,65,"115,463","46,726",,0.003479074,0.003479058,,1487000,,0.04,,,4618.52,
"Kingsley No. 124, Saskatchewan [CCS470105014]",5,14,2021,64,"98,015","39,665",,0.002953339,0.00295332,,1487000,,0.04,,,3920.6,
"Chester No. 125, Saskatchewan [CCS470105018]",5,18,2021,82,"138,922","56,220",,0.004185929,0.004185949,,1487000,,0.04,,,5556.88,
"Wolseley No. 155, Saskatchewan [CCS470105027]",5,27,2021,71,"104,293","42,206",,0.003142505,0.003142514,,1487000,,0.04,,,4171.72,
"Elcapo No. 154, Saskatchewan [CCS470105028]",5,28,2021,78,"114,289","46,251",,0.0034437,0.003443691,,1487000,,0.04,,,4571.56,
"Willowdale No. 153, Saskatchewan [CCS470105033]",5,33,2021,42,"28,428","11,504",,0.000856578,0.000856548,,1487000,,0.04,,,1137.12,
"Rocanville No. 151, Saskatchewan [CCS470105037]",5,37,2021,70,"86,750","35,106",,0.002613908,0.002613873,,1487000,,0.04,,,3470,
"Spy Hill No. 152, Saskatchewan [CCS470105041]",5,41,2021,41,"81,324","32,911",,0.002450414,0.00245044,,1487000,,0.04,,,3252.96,
"Langenburg No. 181, Saskatchewan [CCS470105047]",5,47,2021,71,"144,417","58,443",,0.004351501,0.004351466,,1487000,,0.04,,,5776.68,
"Fertile Belt No. 183, Saskatchewan [CCS470105051]",5,51,2021,82,"147,323","59,620",,0.004439064,0.004439101,,1487000,,0.04,,,5892.92,
